"case_id","timestamp","domain","osi_layer","osi_layer_name","symptom","cli_snippet","root_cause","confidence","confidence_tier","next_command_device","next_command_cmd","fix_step_1","fix_step_2","fix_step_3","outcome"
"NS-001","2026-02-01T09:00:00Z","VLAN","2","Data Link","PC in Sales department cannot reach any other PC in Sales, but can ping its own gateway.","show vlan brief
VLAN Name        Status  Ports
10  Sales        active  Fa0/1,Fa0/2,Fa0/3,Fa0/4
20  HR           active  Fa0/6,Fa0/7
(Fa0/5 not listed under VLAN 10)

show interfaces fa0/5 switchport
Administrative Mode: static access
Operational Mode: static access
Access Mode VLAN: 20 (HR)","Port Fa0/5 is assigned to VLAN 20 (HR) instead of VLAN 10 (Sales), isolating the PC from its intended broadcast domain.","0.85","high","SW1","show vlan brief","interface fa0/5","switchport access vlan 10","","Access port reassigned to VLAN 10. Sales PC regained connectivity, verified with ping to a peer."
"NS-002","2026-02-01T15:00:00Z","Trunking","2","Data Link","Devices on SW2 in VLAN 30 cannot communicate with devices on VLAN 30 connected to SW1, even though both switches show VLAN 30 active.","show interfaces trunk (SW1)
Port  Native vlan
Gi0/1  1

show interfaces trunk (SW2)
Port  Native vlan
Gi0/1  99

%CDP-4-NATIVE_VLAN_MISMATCH: Native VLAN mismatch discovered on Gi0/1","Native VLAN mismatch on the trunk link (VLAN 1 on SW1 vs VLAN 99 on SW2) is causing untagged traffic to leak between VLANs and breaking inter-switch communication.","0.85","high","SW1","show interfaces trunk","interface gi0/1","switchport trunk native vlan 99  ! apply consistently on SW1 to match SW2","","Native VLAN aligned to 99 on both switches. CDP warning cleared and cross-switch VLAN 30 traffic resumed."
"NS-003","2026-02-01T21:00:00Z","DHCP","7","Application","New laptops joining the network cannot obtain an IP address; ipconfig shows a 169.254.x.x address.","show ip dhcp pool SALES
Pool SALES :
 Utilization mark (high/low)    : 100 / 0
 Total addresses                : 50
 Leased addresses               : 50","The DHCP pool for VLAN 10 is fully exhausted (50/50 leases used), so new clients fail to lease an address and self-assign an APIPA address.","0.93","high","R1","show ip dhcp pool SALES","ip dhcp pool SALES","network 192.168.10.0 255.255.254.0  ! expand pool or shorten lease time","","DHCP pool expanded. New laptops received valid leases within seconds."
"NS-004","2026-02-02T03:00:00Z","DHCP-Relay","3","Network","Hosts on VLAN 40 (a subnet with no local DHCP server) never receive an IP address from the central DHCP server on VLAN 1.","show run interface vlan 40
interface Vlan40
 ip address 192.168.40.1 255.255.255.0
(no ip helper-address configured)","Vlan40 interface is missing the 'ip helper-address' command, so DHCP broadcasts from VLAN 40 clients are never relayed to the DHCP server on VLAN 1.","0.93","high","R1","show run interface vlan40","interface vlan40","ip helper-address 10.10.10.5","","ip helper-address added to Vlan40. DHCP requests now relayed and VLAN 40 hosts obtained addresses."
"NS-005","2026-02-02T09:00:00Z","DNS","7","Application","All hosts on the Finance subnet can ping internal servers but cannot reach any website by name, though pinging the website's IP works fine.","ipconfig /all (Finance-PC1)
DNS Servers . . . . . . . . . . : 10.10.10.50

ping 10.10.10.50
Request timed out.","The configured DNS server (10.10.10.50) is unreachable, so name resolution fails while direct IP connectivity still works.","0.93","high","R1","show hosts","ip dhcp pool FINANCE","dns-server 10.10.10.51  ! point to a reachable DNS server","","DNS server address corrected. Name resolution verified with nslookup and a browser test."
"NS-006","2026-02-02T15:00:00Z","Default-Gateway","3","Network","A single PC in the Marketing VLAN cannot reach any device outside its own subnet, but can ping other PCs in the same VLAN.","ipconfig (Marketing-PC5)
IPv4 Address. . . . . . . . . . . : 192.168.20.15
Default Gateway . . . . . . . . . : 192.168.20.254","The PC's default gateway is manually set to 192.168.20.254, which does not exist on this subnet; the real gateway is 192.168.20.1, so all off-subnet traffic is dropped.","0.85","high","R1","show ip route","On host: set default gateway to 192.168.20.1","","","Gateway corrected to 192.168.20.1 on the host. Off-subnet connectivity restored, verified with ping."
"NS-007","2026-02-02T21:00:00Z","Duplicate-IP","3","Network","Two PCs on the same VLAN intermittently lose connectivity and Windows shows an 'IP address conflict' warning.","show ip arp | include 192.168.10.20
Internet  192.168.10.20   -   0018.d3aa.1122  ARPA  Vlan10
Internet  192.168.10.20   -   0022.55bb.9f10  ARPA  Vlan10","Two devices are statically configured with the same IP address (192.168.10.20), causing an IP conflict and intermittent connectivity for both.","0.85","high","SW1","show ip arp","Reassign one printer to 192.168.10.21 and update static config","","","Duplicate IP resolved by reassigning one printer. ARP conflict warning cleared."
"NS-008","2026-02-03T03:00:00Z","Static-Routing","3","Network","Branch office PCs cannot reach the HQ server subnet (10.0.99.0/24); everything else works.","show ip route
S    192.168.1.0/24 [1/0] via 10.0.0.2
C    10.0.0.0/30 is directly connected, Serial0/0/0
(no route to 10.0.99.0/24)","R1's routing table has no static route to the HQ server subnet 10.0.99.0/24, so traffic to that destination is dropped at the branch router.","0.93","high","R1","show ip route static","ip route 10.0.99.0 255.255.255.0 10.0.0.2","","","Static route to 10.0.99.0/24 added on R1. HQ server subnet reachable, verified with traceroute."
"NS-009","2026-02-03T09:00:00Z","OSPF","3","Network","R1 and R2 are directly connected but their OSPF neighbor relationship never gets past the INIT state.","show ip ospf neighbor (R1)
Neighbor ID  State     Address
2.2.2.2      INIT/DR   10.0.0.2

R2: network 10.0.0.0 0.0.0.3 area 1","R2's OSPF network statement places its interface in area 1 while R1's interface is in area 0, an area mismatch that prevents the neighbor adjacency from progressing past INIT.","0.93","high","R2","show ip ospf interface brief","router ospf 1","network 10.0.0.0 0.0.0.3 area 0  ! on R2, correct the area ID","","Area corrected to 0 on R2's interface. Neighbor adjacency advanced to FULL."
"NS-010","2026-02-03T15:00:00Z","OSPF","3","Network","OSPF neighbor between R2 and R3 keeps flapping between FULL and DOWN every 40-60 seconds.","R2: Hello 10, Dead 40
R3: Hello 5, Dead 20","Mismatched OSPF hello and dead timers between R2 and R3 (10/40 vs 5/20) are causing the neighbor's dead timer to expire repeatedly, flapping the adjacency.","0.85","high","R3","show ip ospf neighbor detail","interface se0/1/0","ip ospf hello-interval 10","ip ospf dead-interval 40  ! apply on R3 to match R2","Hello/dead timers matched on R3. Neighbor relationship stabilized, no more flapping."
